Name,Price ($),Quantity,Volume (mL),ABV (%),Container,Type,Cost per mL of Alcohol ($),Cost per Unit ($),Total Volume (mL),Total Alcohol Content (mL)
Heineken,17.5,6,330,5.0,Bottle,Lager,0.177,2.917,1980,99.0
Modelo Especial,18.95,6,355,4.5,Bottle,Lager,0.198,3.158,2130,95.85
Pilsner Urquell,3.55,1,500,4.4,Can,Lager,0.161,3.55,500,22.0
Corona Extra,17.5,6,330,4.6,Bottle,Lager,0.192,2.917,1980,91.08
Peroni Nastro Azzurro,16.95,6,330,5.2,Bottle,Lager,0.165,2.825,1980,102.96
Waterloo Dark,3.25,1,473,5.0,Can,Lager,0.137,3.25,473,23.65
Zywiec Beer,3.15,1,500,5.3,Bottle,Lager,0.119,3.15,500,26.5
Tyskie Beer,2.95,1,500,5.0,Can,Lager,0.118,2.95,500,25.0
Waterloo Craft Lager,3.25,1,473,4.8,Can,Lager,0.143,3.25,473,22.704
Tuborg Gold,2.45,1,473,5.5,Can,Lager,0.094,2.45,473,26.015
Stella Artois,19.95,6,473,5.0,Can,Lager,0.141,3.325,2838,141.9
Stella Artois,14.95,6,355,5.0,Can,Lager,0.14,2.492,2130,106.5
Tyskie Beer,3.2,1,500,5.6,Bottle,Lager,0.114,3.2,500,28.0
Tsingtao Beer,14.2,6,330,4.5,Bottle,Lager,0.159,2.367,1980,89.1
Steam Whistle Premium Pilsner,3.85,1,473,5.0,Can,Lager,0.163,3.85,473,23.65
Sleeman Original Lager,16.95,6,473,5.0,Can,Lager,0.119,2.825,2838,141.9
Tatra Beer,2.85,1,500,5.5,Can,Lager,0.104,2.85,500,27.5
Sapporo Premium Beer,20.5,6,500,5.0,Can,Lager,0.137,3.417,3000,150.0
Stiegl Bier,3.6,1,500,4.9,Can,Lager,0.147,3.6,500,24.5
Town Brewery Quick One Lager,3.55,1,473,4.2,Can,Lager,0.179,3.55,473,19.866
Sleeman Clear 2.0,16.95,6,473,4.0,Can,Lager,0.149,2.825,2838,113.52
Stonewall Light,1.85,1,275,4.0,Bottle,Lager,0.168,1.85,275,11.0
Stella Artois,3.75,1,473,5.0,Can,Lager,0.159,3.75,473,23.65
Sapporo Premium Beer,17.5,6,355,5.0,Bottle,Lager,0.164,2.917,2130,106.5
Woodhouse Lager,3.35,1,473,5.0,Can,Lager,0.142,3.35,473,23.65
Warka Beer,3.15,1,500,6.5,Bottle,Lager,0.097,3.15,500,32.5
Locker Room Lager,2.9,1,473,4.2,Can,Lager,0.146,2.9,473,19.866
Old Flame Hazy Blonde Kellerbier,3.5,1,473,5.0,Can,Lager,0.148,3.5,473,23.65
Stella Artois,15.95,6,330,5.0,Bottle,Lager,0.161,2.658,1980,99.0
